id,type,name,category,industries,geo_reach,market_demand,sales_volume,brand_reputation
pro503,product,consumer product reviews,accessories,"staffing and recruiting, it systems operations and maintenance, motion pictures and film","madagascar, guam, wallis and futuna islands",low,high,high
serv506,service,industry training programs,accessories,"sports organizations, furnishings, recreational vehicles","cote d'ivoire (ivory coast), guadeloupe",medium,high,medium
serv508,service,advocacy campaign management,recreational,"alternative medicine, it system custom software development","monaco, tajikistan, afghanistan, vatican city state (holy see), burkina faso, montserrat",low,high,high
pro509,product,retail pos systems,recreational,"conglomerates, internet publishing","saint-barthelemy, namibia",medium,high,high
serv512,service,blockchain solutions,technology,emergency and relief services,"cambodia, cameroon, benin, iran, japan",low,medium,medium
pro513,product,product certification,recreational,"real estate - general, pollution and treatment controls, funds and trusts","burkina faso, mali, eritrea",high,medium,high
serv516,service,marketing agency,marketing,"online and mail order retail, writers","new zealand, united states minor outlying islands, mauritius, aruba",low,high,high
pro517,product,health and wellness products,retail,wholesale construction materials,"palestinian territory occupied, papua new guinea, chile, israel, mauritius, colombia",high,high,medium
serv520,service,regulatory compliance,technology,measuring and control instrument manufacturing,saint lucia,low,low,high
pro521,product,technology patents,education,"packaged foods, infrastructure operations","saint helena, wallis and futuna islands, rwanda, fiji islands, south korea",low,medium,medium
pro523,product,product development,retail,"nonprofit organization management, drug manufacturers - major","nepal, faroe islands, sint maarten (dutch part)",medium,high,high
pro525,product,product design,compliance,"web design and development, medical distribution","comoros, south sudan, cyprus, yemen, armenia",medium,high,high
pro527,product,product safety testing,compliance,insurance agencies and brokerages,"norfolk island, christmas island",low,medium,low
pro529,product,product design,compliance,"printing services, online media, internet retail","gibraltar, turkmenistan",low,high,medium
pro531,product,retail merchandising,recreational,"insurance and employee benefit funds, building materials","puerto rico, ethiopia, democratic republic of the congo, cote d'ivoire (ivory coast), monaco, liechtenstein",low,high,high
pro533,product,product compliance auditing,recreational,"travel services, fine arts school","mali, malaysia, liechtenstein, kenya, papua new guinea",high,low,high
pro535,product,product innovation labs,processing,sound recording industries,"norfolk island, south sudan, cuba, gambia the",low,low,high
serv538,service,legal dispute resolution,retail,"investment advice, package/freight delivery, computer hardware","argentina, united states minor outlying islands, cote d'ivoire (ivory coast), tanzania",medium,high,high
serv540,service,legal advocacy,accessories,"service industry machinery manufacturing, building materials","colombia, samoa",low,medium,high
serv542,service,supply chain management,retail,"climate technology product manufacturing, online audio and video media, fashion","belize, puerto rico, brazil, namibia, malta, greenland",medium,medium,low
serv544,service,import and export services,marketing,"shell companies, household services, paint, coating and adhesive manufacturing","gambia the, singapore, south sudan, trinidad and tobago",medium,high,high
serv546,service,consumer education programs,retail,"short story writers, outsourcing/offshoring, distilleries","lithuania, sudan",medium,high,high
pro547,product,retail merchandising,processing,"fisheries, capital markets, residential mental health",kazakhstan,medium,low,low
serv550,service,compliance auditing,compliance,"museums and institutions, railroad manufacture, semiconductors","united states minor outlying islands, sierra leone, the bahamas, finland",high,high,high
serv552,service,industry networking,compliance,biotechnology,"el salvador, spain, bolivia",high,low,high
pro553,product,product ingredient sourcing,compliance,"travel and tourism, freight, railroad equipment manufacturing",burundi,high,high,low
serv556,service,community engagement,medical,"home improvement retail, advertising agencies, education","seychelles, western sahara, maldives, netherlands, pitcairn island, saint lucia",low,high,medium
serv558,service,cultivation expertise,accessories,"electric power transmission, control and distribution, nonmetallic mineral mining","south sudan, hungary, gibraltar, montenegro, croatia",high,low,medium
serv560,service,consumer rights protection,medical,"fisheries, video post-production","papua new guinea, south georgia, andorra",low,low,high
pro561,product,legal compliance software,accessories,airlines,"anguilla, belarus, jamaica",high,medium,low
serv564,service,waste management solutions,compliance,"farming, ranching and forestry, biotechnology research","iceland, niue, french southern territories, palau",medium,low,high
serv566,service,customer support services,compliance,"specialty food stores, emergency and relief services",cameroon,medium,high,medium
pro567,product,packaging solutions,compliance,"wholesale machinery, bed and breakfast, hostels and homestays","bulgaria, serbia, liechtenstein, reunion",high,medium,low
serv570,service,trade association,accessories,"animal feed manufacturing, automotive, specialty food stores","laos, india, british indian ocean territory",low,medium,low
pro571,product,product branding,compliance,non-profit organizations,"mongolia, botswana, panama, north korea, burundi, armenia",low,high,high
serv574,service,public relations,medical,"medical distribution, waste management",tanzania,low,high,high
serv576,service,consulting services,technology,"advertising, health information services, food and beverage manufacturing","india, turkmenistan, namibia",high,medium,high
serv578,service,cultural and heritage preservation,marketing,"shoes manufacturing, fire protection, family planning centers","bulgaria, australia",low,high,medium
pro579,product,product safety testing,processing,renewable energy,"uganda, kyrgyzstan",low,high,high
pro581,product,retail pos systems,medical,wholesale business supplies and equipment,"rwanda, bhutan",medium,high,low
pro583,product,health and wellness products,education,"non-profit organization management, railroad equipment manufacturing, reit - residential","gambia the, saint-martin (french part), gabon, laos, greenland",medium,high,high
pro585,product,farming equipment,education,"real estate - development, online audio and video media, renewable energy power generation","kazakhstan, kosovo, sweden, china",low,high,high
pro587,product,retail merchandising,accessories,"haulage, diagnostics and research","cameroon, sao tome and principe, bahrain, uzbekistan",medium,high,low
pro589,product,extraction and processing,technology,"storage, nanotechnology","australia, laos, slovenia, peru, turks and caicos islands",low,low,high
pro591,product,trade publication,retail,"boilers, tanks and shipping container manufacturing","jordan, spain, cook islands, israel, hungary, south africa",high,low,low
serv594,service,quality control,compliance,"communications, physical, occupational and speech therapists",andorra,low,low,high
serv596,service,workforce training,cultivation,"security systems services, museums and institutions","brunei, kyrgyzstan, wallis and futuna islands, cameroon",medium,medium,high
pro597,product,health and wellness products,compliance,it system testing and evaluation,"vatican city state (holy see), reunion, nigeria, democratic republic of the congo",high,high,medium
serv600,service,legal dispute resolution,cultivation,"uranium, sporting goods stores, pharmaceutical retailers","sao tome and principe, guyana, bulgaria, mongolia",high,medium,high
serv602,service,security services,cultivation,"government, wood products, structural clay product manufacturing","timor-leste, democratic republic of the congo, saint-barthelemy, western sahara, china",high,low,medium
pro603,product,retail merchandising,education,"commercial and industrial equipment rental, fashion and beauty, operations consulting","lebanon, north macedonia, mexico, virgin islands (british), afghanistan, guernsey and alderney",high,high,low
serv606,service,consumer safety programs,processing,"museums, historical sites and zoos, rubber product manufacturing, electronics","china, peru, lithuania",low,medium,high
serv608,service,market entry strategy,marketing,short story writers,israel,medium,high,low
pro609,product,extraction and processing,compliance,"drug manufacturers - major, financial services, shoes manufacturing",saint-barthelemy,high,medium,high
serv612,service,legal compliance software,retail,"climate technology product manufacturing, electronics and computer distribution","guernsey and alderney, latvia",medium,medium,high
serv614,service,advocacy organization,medical,"discount stores, outpatient care centers","hungary, liberia, uzbekistan, kazakhstan, british indian ocean territory",low,low,high
pro615,product,health and wellness products,compliance,"water, railroads, electric lighting equipment manufacturing","estonia, mauritania, sierra leone, haiti, azerbaijan",medium,low,low
pro617,product,product compliance auditing,processing,"aluminum, resorts and casinos, design services",sweden,low,medium,medium
serv620,service,tourism services,compliance,"building structure and exterior contractors, outpatient care centers","denmark, aruba, papua new guinea, senegal, france",medium,high,high
serv622,service,legal representation,retail,"medical instruments and supplies, fine art",syria,high,low,high
serv624,service,customer support services,accessories,"airlines and aviation, climate technology product manufacturing, coal","cook islands, oman, madagascar",medium,high,high
pro625,product,product certification,cultivation,"tools and accessories, reit - hotel and motel, reit - office","united states minor outlying islands, bouvet island, british indian ocean territory, democratic republic of the congo, iraq",medium,medium,low
serv628,service,waste management solutions,medical,human resources services,"greece, sri lanka, north macedonia, kiribati, niger, switzerland",low,medium,high
pro629,product,product development,processing,consumer goods,"sao tome and principe, north korea",medium,low,low
pro631,product,product safety testing,cultivation,"banks - regional - us, it system custom software development, dairy","jersey, equatorial guinea",low,high,medium
serv634,service,legal dispute resolution,education,"racetracks, beverages - soft drinks, electrical and electronic manufacturing",belgium,low,low,medium
serv636,service,public policy advocacy,processing,retail products,"new zealand, saint helena",low,medium,high
pro637,product,health and wellness products,processing,vocational training,"vietnam, latvia, western sahara, costa rica",medium,medium,high
pro639,product,product innovation labs,recreational,"electronics and computer distribution, aluminum","azerbaijan, lithuania, samoa",medium,low,high
serv642,service,advocacy organization,cultivation,"seafood product preparation and packaging, metal fabrication, climate data and analytics","sudan, cape verde, nepal, rwanda, turkey, syria",high,high,medium
serv644,service,advocacy campaign management,recreational,security system services,"colombia, ethiopia, taiwan, western sahara, aland islands",medium,high,high
pro645,product,product supply chain transparency,medical,"golf courses and country clubs, machinery, storage",iran,low,low,medium
serv648,service,sustainability initiatives,medical,"emergency and relief services, aerospace and defense","samoa, trinidad and tobago",high,high,medium
serv650,service,industry standards development,marketing,"environmental services, supermarkets","colombia, greece, costa rica, peru",medium,low,low
pro651,product,product safety testing,retail,"glass, ceramics and concrete, computer games, sound recording",angola,low,medium,medium
pro653,product,product safety testing,marketing,"reit - industrial, semiconductor equipment and materials","turks and caicos islands, namibia, maldives, azerbaijan",high,low,low
pro655,product,product innovation labs,accessories,"water, asset management, wine and spirits",micronesia,high,low,medium
pro657,product,consumer product reviews,education,medical instruments and supplies,"san marino, cuba",low,high,high
pro659,product,retail pos systems,retail,"retail trade, screenwriters, insurance carriers","cote d'ivoire (ivory coast), saint pierre and miquelon, czech republic, liechtenstein, mauritius, guinea",high,high,medium
pro661,product,technology patents,accessories,"recreational facilities, media","saudi arabia, british indian ocean territory, french guiana, jordan",low,high,high
pro663,product,product testing,marketing,"design, computer hardware, specialty finance","andorra, malta",medium,low,low
pro665,product,product branding,processing,"utilities - regulated electric, hospital and health care",cambodia,high,high,low
pro667,product,farming equipment,retail,"recreational facilities, wholesale business supplies and equipment, chemical","saint-barthelemy, united kingdom",high,high,high
serv670,service,financial risk management,cultivation,"metal treatments, information technology and services, metal one mining",ethiopia,low,high,medium
pro671,product,technology patents,cultivation,"postal services, data storage, ground passenger transportation","united arab emirates, thailand",low,medium,medium
pro673,product,extraction and processing,education,safety,"south sudan, azerbaijan, italy, cook islands",medium,medium,medium
serv676,service,educational outreach,recreational,scenic and sightseeing transportation,"marshall islands, cura\u00e7ao, monaco, ukraine, argentina, zambia",high,high,low
pro677,product,product innovation,marketing,"wholesale fuel, media and telecommunications, urban planning","portugal, virgin islands (us), malaysia, ethiopia",medium,low,high
serv680,service,insurance underwriting,cultivation,"operations consulting, oil and gas integrated","mozambique, cyprus",low,high,medium
pro681,product,product testing,retail,security and protection services,"belize, solomon islands",medium,low,medium
pro683,product,product design,compliance,"shipping, resorts and casinos","lesotho, rwanda, cayman islands, bhutan, svalbard and jan mayen islands",low,high,medium
serv686,service,public relations,technology,business equipment and supplies,"taiwan, antigua and barbuda, egypt, latvia",low,high,low
pro687,product,seed genetics research,marketing,"metal valve, ball and roller manufacturing",austria,high,low,medium
serv690,service,retail customer loyalty programs,recreational,"postal services, media production","vietnam, latvia, trinidad and tobago, senegal, micronesia, nigeria",high,low,high
serv692,service,consumer education programs,processing,"internet retail, book and periodical publishing","lebanon, ireland",low,low,medium
serv694,service,insurance underwriting,education,"public relations, facilities services, artists and writers","djibouti, cuba, mozambique, guam",low,low,high
serv696,service,research and development,recreational,home improvement retail,"panama, nigeria, mayotte, russia",low,medium,low
pro697,product,product ingredient sourcing,retail,"advertising, civic and social organization",cura\u00e7ao,low,medium,low
serv700,service,advocacy organization,accessories,staffing and recruiting,tokelau,high,high,medium
serv702,service,education and training,technology,"magnetic and optical media manufacturing, government relations","united states minor outlying islands, yemen",low,low,low
pro703,product,retail merchandising,processing,transportation/trucking/railroad,"malta, cyprus, guyana",low,high,high
serv706,service,investment banking,marketing,"advertising, engines and power transmission equipment manufacturing, food and beverage services","saint kitts and nevis, zambia, bahrain, sint maarten (dutch part), tajikistan",low,medium,high
serv708,service,educational content creation,accessories,"web design and development, aluminum, computer and network security","grenada, slovenia, niue, united states minor outlying islands, san marino, guatemala",low,high,high
pro709,product,health and wellness products,technology,"vocational training, pharmaceuticals","moldova, venezuela, guatemala, tonga",high,medium,high
pro711,product,seed genetics research,processing,fine arts school,"tonga, antarctica, portugal, japan, ecuador",low,medium,high
pro713,product,packaging solutions,compliance,"computer networking, motor vehicle parts manufacturing, industrial distribution","panama, denmark",high,low,high
pro715,product,technology patents,cultivation,"internet, diagnostics and research, market research","taiwan, lithuania, haiti, panama, russia, azerbaijan",high,low,low
serv718,service,industry analytics,marketing,"electrical and electronic manufacturing, department stores, public health",iraq,high,low,high
serv720,service,retail analytics,technology,"asset management, executive search services, museums and institutions","myanmar, monaco, kyrgyzstan, andorra, northern mariana islands, yemen",low,low,low
pro721,product,technology patents,recreational,"e-learning providers, information technology and services, airlines/aviation","czech republic, bhutan, dominica, central african republic, grenada, ukraine",medium,low,low
pro723,product,product recycling programs,education,"aerospace, equipment, personal care services","laos, guinea-bissau, mauritius, sao tome and principe",low,medium,low
pro725,product,farming equipment,processing,"periodical publishing, weapons","mozambique, germany, mauritius",low,high,medium
serv728,service,industry training programs,recreational,"electrical and electronic manufacturing, data storage, water power generation","eswatini, reunion, argentina, north macedonia",medium,low,low
serv730,service,community engagement,marketing,"tour operators, accessible hardware manufacturing, information technology services",saint-martin (french part),medium,medium,low
serv732,service,technology incubator,recreational,medical practice,"czech republic, new caledonia, mayotte, san marino, nicaragua",high,high,high
serv734,service,import and export services,technology,specialty business services,lebanon,high,medium,high
serv736,service,industry analytics,processing,"information services, mortgage finance","sint maarten (dutch part), syria, ukraine",low,high,low
pro737,product,packaging solutions,cultivation,"building products and equipment, video post-production, computer and network security","malta, tonga, belize, nicaragua, uruguay, south korea",low,low,medium
serv740,service,technology incubator,recreational,"social organizations, residential building construction","malaysia, armenia",low,low,low
serv742,service,market forecasting,marketing,"weapons, ambulance services","antarctica, seychelles, heard island and mcdonald islands, czech republic, western sahara, equatorial guinea",high,low,medium
pro743,product,trade publication,medical,"banks - diversified, performing arts, healthcare","north korea, french southern territories, french polynesia, comoros, democratic republic of the congo",high,medium,medium
pro745,product,product supply chain transparency,education,"beverage manufacturing, oil and gas midstream",malaysia,low,medium,high
pro747,product,retail pos systems,cultivation,"glass, ceramics and concrete, farm and construction equipment","belgium, mongolia, saudi arabia",low,low,high
pro749,product,product supply chain transparency,recreational,"computer networking, it systems operations and maintenance","south africa, martinique, bahrain, turks and caicos islands",medium,low,low
pro751,product,farming equipment,accessories,"newspaper publishing, aviation and aerospace component manufacturing","sri lanka, spain, north macedonia",high,medium,high
