id,username,slug,image,profile_url,num_of_followers,num_of_following,bio,num_of_posted_tweets,created_at,user,total_tweets,total_likes,total_retweets,total_replies,total_quotes,avg_likes,avg_retweets,avg_replies,avg_quotes,original_tweets,replied_to_tweets,quoted_tweets,retweeted_tweets
U85,tuckerphillip,different-focus,https://picsum.photos/106/816,http://www.faulkner.com/,393763,4915,"Large focus stand way live blood. Indeed play chance deal quite color. Hot begin call drop listen.
National threat ever follow party thing. Right catch win study air.",1632,2021-09-21 19:46:54.292600,85,7,31730,12773,5789,3546,4532.857142857143,1824.7142857142858,827.0,506.57142857142856,0,1,1,5
U86,yflowers,there-care-side,https://placekitten.com/322/186,http://brown.com/,496858,24,Role task floor begin process. Report best which old record human research. Of truth American energy would. Born step very threat.,5789,2019-08-24 16:25:58.079700,86,16,75137,39886,16776,7271,4696.0625,2492.875,1048.5,454.4375,6,4,5,1
U87,flemingfrank,compare-team-idea,https://picsum.photos/509/738,http://hunter.com/,390371,339,"Word Mrs friend economy contain cold. Reveal its represent growth. Help list shake certain.
Leave through return.
Space before act politics pull take. Environmental fly interesting.",8299,2022-04-06 22:42:00.260112,87,11,61507,28268,8980,4881,5591.545454545455,2569.818181818182,816.3636363636364,443.72727272727275,2,3,3,3
U88,azuniga,show-effect-into,https://dummyimage.com/199x641,https://www.parker.com/,133235,1774,Other computer true tax with brother. Pay prove open hand expert foot. Need conference beyond. Life rather yes lawyer mind.,6631,2022-10-22 18:53:19.910972,88,5,26018,13068,3911,3028,5203.6,2613.6,782.2,605.6,2,3,0,0
U89,kelli15,ask-measure-hit,https://picsum.photos/823/673,https://www.morton.com/,770864,2441,"Live last they cell mean sit he high. Lose where thank reflect.
Task already affect bill. Also happy million listen product player.",2496,2022-07-18 04:01:20.340516,89,9,37185,20091,9990,3611,4131.666666666667,2232.3333333333335,1110.0,401.22222222222223,3,1,2,3
U90,laurahurley,anyone-now-foreign,https://picsum.photos/859/960,http://www.blair.com/,116493,4430,Between ready produce raise force money involve evidence. Start hope cell no agent none start. Address street smile camera difficult newspaper top compare.,9336,2024-08-13 23:00:50.256906,90,12,62183,34571,10902,7193,5181.916666666667,2880.9166666666665,908.5,599.4166666666666,2,7,0,3
U91,anthonyellis,add-certainly-young,https://dummyimage.com/224x945,http://rasmussen.info/,965154,668,Just carry something for opportunity. List discuss past. Trade together design that herself store project.,3836,2021-04-15 05:43:35.846790,91,8,40296,17059,9133,3446,5037.0,2132.375,1141.625,430.75,0,1,4,3
U92,sandrasmith,change-represent,https://placekitten.com/1000/75,https://www.williams.org/,40536,4900,"Sell within me man great close. Get responsibility rest. Manager value little up.
Team will notice already case pay everyone. Name worker center special.",420,2024-01-31 15:36:27.257506,92,2,19040,260,2380,1178,9520.0,130.0,1190.0,589.0,1,0,1,0
U93,usmith,order-author-event,https://picsum.photos/986/198,http://www.valenzuela.com/,358852,3347,"Daughter another focus tough technology central play. Dog likely perhaps decision inside throw.
Federal me remain teacher risk any else. Arm news office across college dinner arm.",7764,2022-02-24 12:09:53.280999,93,1,8146,847,669,847,8146.0,847.0,669.0,847.0,0,0,0,1
U94,jamesmatthew,reveal-article,https://picsum.photos/504/352,http://taylor.com/,900729,3417,Stage door specific bill image worry artist. Court list not.,6359,2023-01-18 20:23:30.853564,94,18,90429,54570,14629,9420,5023.833333333333,3031.6666666666665,812.7222222222222,523.3333333333334,4,6,3,5
U95,riggswilliam,bit-show-personal,https://picsum.photos/627/426,https://www.pruitt-heath.biz/,225573,3235,"Necessary ball think until friend seat. Station environmental store.
Sometimes simply between condition. Left people as side sport good beyond. Three always quality down author manager must.",8611,2021-12-28 19:01:07.504188,95,8,30227,19208,8353,3334,3778.375,2401.0,1044.125,416.75,2,1,2,3
U96,christopher65,reflect-staff-happy,https://picsum.photos/902/621,https://www.holmes.net/,907710,689,Current hour big American. Camera read including state little feeling right people.,7956,2021-03-17 17:55:52.924902,96,20,111393,36856,20797,10106,5569.65,1842.8,1039.85,505.3,6,6,4,4
U97,wendy83,change-suggest,https://placekitten.com/36/132,http://estes-simpson.biz/,370538,2188,"Treatment could fear policy. Include both resource pressure account upon so. Always author many wish where.
Leader off traditional example. Section send early a second.",3788,2022-02-16 07:46:41.406577,97,2,3147,4130,3331,1160,1573.5,2065.0,1665.5,580.0,0,1,1,0
U98,clarksamantha,every-act-involve,https://dummyimage.com/302x629,http://cox-nelson.biz/,118366,3072,Little actually southern marriage thank involve even. More myself why teach cold wind public.,6268,2022-08-06 10:41:03.551251,98,14,68211,33227,11569,5958,4872.214285714285,2373.3571428571427,826.3571428571429,425.57142857142856,4,3,2,5
U99,brandonromero,a-television-but,https://placekitten.com/707/311,https://keller.com/,79763,3334,"Among church size institution case.
Expect clearly form to. List word decide left fund cut religious. City each mind reality feeling different season teacher.",8773,2024-03-09 07:05:32.873945,99,20,108247,41421,18425,12504,5412.35,2071.05,921.25,625.2,3,8,4,5
U100,leepamela,new-toward-politics,https://dummyimage.com/911x117,https://sanchez.com/,348863,1926,"Open ok know stand magazine line trouble.
Authority maybe box see reason charge. Difference bad strategy memory tax about hard. Listen life radio base factor become.",9332,2023-02-01 20:28:00.797151,100,7,40664,16617,7987,3767,5809.142857142857,2373.8571428571427,1141.0,538.1428571428571,2,1,2,2
